[Sun Oct 22 18:00:00 KST 2023] Script started

> product_crawling@1.0.58 update:shop
> ts-node ./home_shopping_update

Start fetching shop list 2023-10-22T09:00:05.105Z
[150/177] Complete schedule_id: 481 https://m.livehs.co.kr/product/detail/338576779 2023-10-22T09:02:26.719Z
[151/177] Complete schedule_id: 482 https://m.livehs.co.kr/product/detail/338598096 2023-10-22T09:02:27.615Z
[152/177] Complete schedule_id: 483 https://m.livehs.co.kr/product/detail/338360887 2023-10-22T09:02:28.559Z
[153/177] Complete schedule_id: 484 https://m.livehs.co.kr/product/detail/338383203 2023-10-22T09:02:29.777Z
[154/177] Complete schedule_id: 485 https://m.livehs.co.kr/product/detail/338556092 2023-10-22T09:02:30.599Z
[155/177] Complete schedule_id: 486 https://m.livehs.co.kr/product/detail/338536723 2023-10-22T09:02:31.528Z
[156/177] Complete schedule_id: 487 https://m.livehs.co.kr/product/detail/338590968 2023-10-22T09:02:32.430Z
[157/177] Complete schedule_id: 488 https://m.livehs.co.kr/product/detail/337901763 2023-10-22T09:02:33.294Z
[158/177] Complete schedule_id: 489 https://m.livehs.co.kr/product/detail/338587359 2023-10-22T09:02:34.393Z
[159/177] Complete schedule_id: 490 https://m.livehs.co.kr/product/detail/338383211 2023-10-22T09:02:35.317Z
[160/177] Complete schedule_id: 491 https://m.livehs.co.kr/product/detail/337901770 2023-10-22T09:02:36.191Z
[161/177] Complete schedule_id: 492 https://m.livehs.co.kr/product/detail/338608974 2023-10-22T09:02:37.198Z
[162/177] Complete schedule_id: 493 https://m.livehs.co.kr/product/detail/338608902 2023-10-22T09:02:38.067Z
[163/177] Complete schedule_id: 494 https://m.livehs.co.kr/product/detail/338598145 2023-10-22T09:02:39.000Z
[164/177] Complete schedule_id: 495 https://m.livehs.co.kr/product/detail/338535983 2023-10-22T09:02:39.917Z
[165/177] Complete schedule_id: 496 https://m.livehs.co.kr/product/detail/338535986 2023-10-22T09:02:40.861Z
[166/177] Complete schedule_id: 497 https://m.livehs.co.kr/product/detail/338535987 2023-10-22T09:02:41.770Z
[167/177] Complete schedule_id: 498 https://m.livehs.co.kr/product/detail/338535990 2023-10-22T09:02:42.691Z
[168/177] Complete schedule_id: 499 https://m.livehs.co.kr/product/detail/338587345 2023-10-22T09:02:43.609Z
[169/177] Complete schedule_id: 500 https://m.livehs.co.kr/product/detail/338535991 2023-10-22T09:02:44.519Z
[170/177] Complete schedule_id: 501 https://m.livehs.co.kr/product/detail/338587390 2023-10-22T09:02:45.453Z
[171/177] Complete schedule_id: 502 https://m.livehs.co.kr/product/detail/338556121 2023-10-22T09:02:46.261Z
[172/177] Complete schedule_id: 503 https://m.livehs.co.kr/product/detail/338720892 2023-10-22T09:02:47.198Z
[173/177] Complete schedule_id: 504 https://m.livehs.co.kr/product/detail/338339197 2023-10-22T09:02:48.193Z
[174/177] Complete schedule_id: 505 https://m.livehs.co.kr/product/detail/338339389 2023-10-22T09:02:49.146Z
[175/177] Complete schedule_id: 506 https://m.livehs.co.kr/product/detail/338598245 2023-10-22T09:02:50.089Z
[176/177] Complete schedule_id: 507 https://m.livehs.co.kr/product/detail/338133050 2023-10-22T09:02:51.082Z
[177/177] Complete schedule_id: 508 https://m.livehs.co.kr/product/detail/338270543 2023-10-22T09:02:52.045Z
End fetching product list 2023-10-22T09:02:52.046Z
[Sun Oct 22 18:02:52 KST 2023] Script completed successfully
